1	5	65
2	6	65
3	8	65
4	10	65
5	11	65
6	13	65
7	15	65
8	17	65
9	19	65
10	21	65
11	22	65
12	25	65
13	27	65
14	29	65
15	30	65
16	32	65
17	34	65
18	36	65
19	38	65
20	40	65
21	42	65
22	44	65
23	45	65
24	47	65
25	49	65
26	50	65
27	52	65
28	55	65
29	58	65
30	60	65
31	61	65
32	62	65
33	64	65
34	61	65
35	63	65
36	64	65
37	62	65
38	64	65
39	62	65
40	63	65
41	64	65
42	62	65
43	60	65
44	61	65
45	62	65
46	64	65
47	61	65
48	60	65
49	61	65
50	64	65
51	63	65
52	64	65
53	62	65
54	63	65
55	60	65
56	64	65
57	60	65
58	61	65
59	62	65
60	64	65
61	61	65
62	63	65
63	64	65
64	61	65
65	64	65
66	62	65
67	63	65
68	64	65
69	62	65
70	60	65
71	61	65
72	62	65
73	64	65
74	61	65
75	60	65
76	61	65
77	64	65
78	63	65
79	64	65
80	62	65
81	63	65
82	60	65
83	64	65
